iter	MultiClass
148	0.2478506566
149	0.2471664921
150	0.2463826489
151	0.245245879
152	0.2441171348
153	0.2434444371
154	0.242524659
155	0.2420762317
156	0.2416206069
157	0.2410716881
158	0.2406669199
159	0.2401331675
160	0.2394423423
161	0.238781564
162	0.2376948947
163	0.2364607832
164	0.2350693061
165	0.2348334205
166	0.2341459346
167	0.2335390663
168	0.2328909825
169	0.2323114795
170	0.2317414592
171	0.2305678
172	0.2303544828
173	0.230120745
174	0.2299202273
175	0.2295731785
176	0.228539948
177	0.2283698925
178	0.2277271951
179	0.2272795907
180	0.2264901375
181	0.2259226419
182	0.2253991944
183	0.2245623345
184	0.2244497983
185	0.2237873893
186	0.2229609576
187	0.2227975794
188	0.2220833202
189	0.2206887612
190	0.2201050273
191	0.2199492708
192	0.2198258098
193	0.2196436987
194	0.2187072549
195	0.2176423026
196	0.2175265354
197	0.2175127089
198	0.2171791169
199	0.2165070248
200	0.2153377074
201	0.2153336666
202	0.2143578432
203	0.214266298
204	0.2140080057
205	0.2139699568
206	0.2137959978
207	0.212714972
208	0.2124803996
209	0.2114808895
210	0.2114094955
211	0.2106514539
212	0.2101891606
213	0.2097962098
214	0.2096682404
215	0.2092136826
216	0.2081522702
217	0.2080008712
218	0.2077988792
219	0.2071773905
220	0.2071557522
221	0.2069100781
222	0.206343734
223	0.206035763
224	0.206030968
225	0.2058758143
226	0.2052029774
227	0.2048473609
228	0.2042256166
229	0.2041024997
230	0.2037949865
231	0.2037908354
232	0.2037867144
233	0.2037740901
234	0.2033548605
235	0.2031120324
236	0.2029911612
237	0.202920355
238	0.2028545015
239	0.202602072
240	0.2025946064
241	0.2021490033
242	0.2011574716
243	0.2010686452
244	0.2001163495
245	0.2000407818
246	0.2000368778
247	0.1996584403
248	0.1996202506
249	0.1993430263
250	0.1992455978
251	0.1991652907
252	0.1985856347
253	0.1984715504
254	0.198089692
255	0.197928735
256	0.1978337931
257	0.1977202785
258	0.1975598256
259	0.1968876975
260	0.1967532164
261	0.1964393839
262	0.1961383414
263	0.1960336657
264	0.195617566
265	0.1949404375
266	0.1945266229
267	0.1939258185
268	0.1937880694
269	0.192939127
270	0.1928668615
271	0.1926360331
272	0.1916272677
273	0.1915281476
274	0.1913533681
275	0.1905234468
276	0.1899788074
277	0.1899060296
278	0.1894377766
279	0.1891490333
280	0.1891140866
281	0.188943831
282	0.1888466862
283	0.1885262349
284	0.1883351398
285	0.1881224894
286	0.1879952734
287	0.1879010536
288	0.1878087051
289	0.1877710265
290	0.1873069151
291	0.18719688
292	0.1871015521
293	0.1864899472
294	0.1861055036
295	0.1858837764
296	0.18543233
297	0.1853664786
298	0.1847052487
299	0.1846353351
300	0.1844950232
301	0.1842228008
302	0.1841090184
303	0.1840346953
304	0.1838497224
305	0.183514266
306	0.1826923626
307	0.1824585322
308	0.1823175742
309	0.1821056289
310	0.1818911268
311	0.1818850967
312	0.1818827027
313	0.1817764464
314	0.1817028764
315	0.18137182
316	0.1813076504
317	0.1812305442
318	0.1811772354
319	0.1811052567
320	0.1811014535
321	0.1809545707
322	0.180908181
323	0.1807916133
324	0.180360846
325	0.1801117174
326	0.1800011097
327	0.1798702094
328	0.179772898
329	0.1795174636
330	0.1794239864
331	0.1790990359
332	0.1786907895
333	0.1786249023
334	0.1785319573
335	0.1784208407
336	0.1783326388
337	0.1782594329
338	0.1781994169
339	0.1776480183
340	0.1773483615
341	0.1772462664
342	0.1768399558
343	0.1768355681
344	0.1766516673
345	0.1766476644
346	0.1766439376
347	0.1765366581
348	0.1764559883
349	0.1763510929
350	0.1761892935
351	0.1761836599
352	0.1761048217
353	0.1758861777
354	0.1757658878
355	0.1756894205
356	0.1755941262
357	0.1755761089
358	0.1754138626
359	0.1750398495
360	0.1749809526
361	0.1748997179
362	0.1745601283
363	0.1743471348
364	0.17381598
365	0.1737552394
366	0.1736736499
367	0.1735914657
368	0.1735346571
369	0.1726481097
370	0.172545905
371	0.1718601706
372	0.17183242
373	0.1715369707
374	0.1715171972
375	0.1714138294
376	0.1713347769
377	0.1712627762
378	0.1712139835
379	0.1711913816
380	0.1709175874
381	0.1708426644
382	0.170839172
383	0.1707730282
384	0.1705380249
385	0.1703905134
386	0.1703408776
387	0.170309522
388	0.1702617544
389	0.170060188
390	0.1698322293
391	0.1696051742
392	0.1694414744
393	0.1694014442
394	0.1691045004
395	0.1688005284
396	0.1687975799
397	0.1684348466
398	0.168241776
399	0.1680055756
400	0.1678826845
401	0.1678479402
402	0.1678446649
403	0.1678418099
404	0.1677308739
405	0.1676802327
406	0.1676769007
407	0.1674357659
408	0.1673390471
409	0.1673354546
410	0.1672799184
411	0.1672433903
412	0.1672019129
413	0.1671169428
414	0.1670583577
415	0.1669744491
416	0.1663563882
417	0.1663335633
418	0.1659537763
419	0.1656041909
420	0.1653978428
421	0.1653946874
422	0.1653233035
423	0.1652284524
424	0.1652241455
425	0.1650931933
426	0.1649861341
427	0.1646968599
428	0.16462141
429	0.1645661622
430	0.1643652604
431	0.1643028313
432	0.1642422999
433	0.1641977984
434	0.1641531484
435	0.1641004904
436	0.1639994981
437	0.1639720091
438	0.1639310034
439	0.1637831277
440	0.1636932655
441	0.1636657725
442	0.1634370831
443	0.1633910185
444	0.1633882395
445	0.1633302525
446	0.1632654265
447	0.1632236822
448	0.1629791497
449	0.1627795682
450	0.1627403844
451	0.162605438
452	0.1625387526
453	0.1625049068
454	0.1624629249
455	0.1624603971
456	0.1623071067
457	0.1622577888
458	0.1621632262
459	0.1621604652
460	0.1617623478
461	0.1614007757
462	0.1613376588
463	0.1612688012
464	0.1610775727
465	0.1609221212
466	0.1604579137
467	0.1604057845
468	0.1603529453
469	0.1602916933
470	0.1602296074
471	0.1601254208
472	0.1599172895
473	0.1597338176
474	0.1597023518
475	0.1596503994
476	0.1596482017
477	0.1595594104
478	0.1592102566
479	0.1592078826
480	0.1592045647
481	0.1590885351
482	0.1583960385
483	0.1578063779
484	0.1577216805
485	0.15763663
486	0.1576012966
487	0.1575839242
488	0.1575309138
489	0.1573187981
490	0.1569946268
491	0.1569295046
492	0.1568266753
493	0.1566880241
494	0.1566513269
495	0.156204358
496	0.1556181042
497	0.1556152592
498	0.155369343
499	0.1550680843
500	0.1549260612
501	0.154872316
502	0.154821148
503	0.1547961167
504	0.1547611961
505	0.1547525232
506	0.1545115534
507	0.1544364381
508	0.1543682762
509	0.1542858249
510	0.1542276928
511	0.1541885044
512	0.1541579568
513	0.1540866285
514	0.1540484151
515	0.1539954689
516	0.1539493272
517	0.1536541468
518	0.1535494358
519	0.1534485392
520	0.1530448257
521	0.152982453
522	0.1529423967
523	0.1528535619
524	0.1527800415
525	0.152725829
526	0.1527238347
527	0.1520052882
528	0.1519449264
529	0.1519072567
530	0.1517824061
531	0.1516145142
532	0.1515124304
533	0.1514743824
534	0.1512020535
535	0.1511746796
536	0.1509945716
537	0.150692414
538	0.1506063391
539	0.1505622084
540	0.1505595817
541	0.1503499665
542	0.1502999384
543	0.1500996283
544	0.1499275504
545	0.149893003
546	0.1498591625
547	0.149534652
548	0.149496682
549	0.1494382616
550	0.1493893015
551	0.1492813842
552	0.1492540125
553	0.1490520329
554	0.1490292646
555	0.1489819381
556	0.1489560936
557	0.1489134718
558	0.1488557679
559	0.148838252
560	0.1485967552
561	0.1485195345
562	0.1484031752
563	0.1483738058
564	0.1482376555
565	0.1482355251
566	0.148158744
567	0.1481333269
568	0.1480882047
569	0.148044977
570	0.147977888
571	0.1479745449
572	0.1478850895
573	0.1478498803
574	0.1477427773
575	0.1476615073
576	0.1476337024
577	0.1475520971
578	0.1475012681
579	0.1474401996
580	0.1473872656
581	0.1471860623
582	0.1471303195
583	0.1470041365
584	0.1469701558
585	0.1467307758
586	0.146675947
587	0.1464927027
588	0.1464904186
589	0.146219862
590	0.1462161177
591	0.1461820994
592	0.1460324163
593	0.1459354149
594	0.145925938
595	0.1458894128
596	0.1458560998
597	0.1458094884
598	0.1457842821
599	0.1457821039
600	0.1455065264
601	0.1454249072
602	0.1453566968
603	0.1453103078
604	0.1452915956
605	0.145060716
606	0.145030532
607	0.1449985591
608	0.1449707241
609	0.1449685375
610	0.1449648764
611	0.1449609112
612	0.1449549284
613	0.1446903683
614	0.1444614163
615	0.1444246115
616	0.1442968593
617	0.1441608475
618	0.1440965475
619	0.1439639078
620	0.1439163073
621	0.1437533047
622	0.1437459814
623	0.1435842596
624	0.1435458958
625	0.143509419
626	0.1432202342
627	0.1431540928
628	0.1430338576
629	0.1429991674
630	0.1428063265
631	0.1427154995
632	0.1426755987
633	0.1426438915
634	0.1426229544
635	0.1425368334
636	0.142526672
637	0.1424777455
638	0.1424476798
639	0.1423075537
640	0.1422299156
641	0.1421963942
642	0.1421416111
643	0.1420775293
644	0.1419813571
645	0.1419010862
646	0.1418534054
647	0.1418080328
648	0.1415519565
649	0.1415183367
650	0.1414705613
651	0.1414391265
652	0.1414020374
653	0.1408907657
654	0.1408873205
655	0.1408090759
656	0.1407965201
657	0.1407934779
658	0.1407493522
659	0.1406425312
660	0.1406106619
661	0.1405834971
662	0.1405582703
663	0.1405223744
664	0.1405031748
665	0.1403271508
666	0.1402277974
667	0.1401936837
668	0.1400683628
669	0.1400047752
670	0.1399773373
671	0.1399379541
672	0.1398834875
673	0.1398530303
674	0.1397984442
675	0.1397467179
676	0.1396783212
677	0.1395289393
678	0.1394994558
679	0.1394783312
680	0.13931776
681	0.1392807598
682	0.1392259077
683	0.1391985394
684	0.139031534
685	0.1386542899
686	0.1386256429
687	0.1385368559
688	0.1384844908
689	0.1384473715
690	0.1384102895
691	0.1383627687
692	0.1383595901
693	0.1383310214
694	0.1382498303
695	0.138217588
696	0.138183936
697	0.1380019311
698	0.1378452481
699	0.1376752213
700	0.1376414655
701	0.1376389254
702	0.1375951312
703	0.1375696249
704	0.137349496
705	0.1371858619
706	0.1371441313
707	0.137046404
708	0.1370113261
709	0.1370001074
710	0.1369760424
711	0.1368783899
712	0.1368131953
713	0.1367753706
714	0.1367403809
715	0.1367154253
716	0.1366710451
717	0.136641877
718	0.1365278724
719	0.1364709
720	0.1363978344
721	0.1363865628
722	0.136346142
723	0.1363310974
724	0.1362877593
725	0.1362536473
726	0.1362341195
727	0.1362327946
728	0.1362309598
729	0.1362282549
730	0.1361496819
731	0.1360658676
732	0.1360299715
733	0.1360044657
734	0.1359723651
735	0.1359415201
736	0.1358803889
737	0.1358783796
738	0.1358748999
739	0.1357514948
740	0.1357225944
741	0.1355801221
742	0.1354905205
743	0.135471614
744	0.1354372938
745	0.1353999224
746	0.1353721257
747	0.1353428412
748	0.1351619682
749	0.1351409326
750	0.1351101729
751	0.1351085486
752	0.1351051586
753	0.1350722999
754	0.1350486667
755	0.1349288415
756	0.1348921305
757	0.1348421159
758	0.1347975239
759	0.1347787209
760	0.1347586522
761	0.1347092745
762	0.1346856993
763	0.1346087791
764	0.1345511639
765	0.1345212499
766	0.1344810806
767	0.1344032579
768	0.1343677539
769	0.134348899
770	0.1343223669
771	0.1342645089
772	0.1342171287
773	0.1341744659
774	0.1341451619
775	0.1341104361
776	0.1340724668
777	0.1340186129
778	0.1339138663
779	0.1339091075
780	0.1338757839
781	0.1338485683
782	0.1338463762
783	0.1338174118
784	0.1337826791
785	0.1337453661
786	0.133717582
787	0.1337144457
788	0.1335300708
789	0.1334104365
790	0.1333851612
791	0.1333419533
792	0.1333157471
793	0.1331252888
794	0.1331060876
795	0.1329218883
796	0.1328830753
797	0.1328646831
798	0.1328464048
799	0.1328446194
800	0.1328151876
801	0.1327945847
802	0.1327928246
803	0.1327334702
804	0.1325993879
805	0.1325657689
806	0.1323770556
807	0.1321904679
808	0.1321883193
809	0.1321590686
810	0.1320256861
811	0.1320161697
812	0.1319785453
813	0.1319527468
814	0.1319212616
815	0.1319177934
816	0.1318728221
817	0.1318424159
818	0.1316674
819	0.1316364218
820	0.1315911095
821	0.1314760434
822	0.1314382277
823	0.1314059917
824	0.1313825
825	0.1313586966
826	0.131339439
827	0.1311591769
828	0.1311559071
829	0.1310944154
830	0.1309204523
831	0.1308940587
832	0.1308370196
833	0.1308089602
834	0.1307744286
835	0.1307651038
836	0.1307329099
837	0.1306220399
838	0.1304865585
839	0.1304583698
840	0.1304133618
841	0.1302335706
842	0.1302321775
843	0.130184299
844	0.130131408
845	0.1300940879
846	0.1300925201
847	0.1300350315
848	0.1300155117
849	0.129983672
850	0.1299524643
851	0.1299182132
852	0.1298611444
853	0.129823335
854	0.1296619171
855	0.1295099204
856	0.1294818358
857	0.1294333861
858	0.1294309435
859	0.1294108163
860	0.1294091145
861	0.1293734726
862	0.1293253746
863	0.1292755933
864	0.1292284315
865	0.1290897547
866	0.1290561052
867	0.1289557525
868	0.1289243554
869	0.1288202657
870	0.1288018914
871	0.1287638358
872	0.1287228787
873	0.128670641
874	0.1286365415
875	0.1284807815
876	0.1278056784
877	0.1277860915
878	0.1277544401
879	0.1277065457
880	0.1277051948
881	0.1276712064
882	0.127669446
883	0.1276589661
884	0.1275662569
885	0.1275389967
886	0.127536218
887	0.1274849463
888	0.1272640674
889	0.1271458187
890	0.1270946426
891	0.1270268372
892	0.1269271323
893	0.1268110673
894	0.1268096218
895	0.1267784182
896	0.1267469286
897	0.1266949492
898	0.1266656578
899	0.1266382184
900	0.1266195289
901	0.1265974795
902	0.1265957847
903	0.1265360953
904	0.1265082058
905	0.1264860342
906	0.1264475153
907	0.1262627273
908	0.1262517636
909	0.1261378823
910	0.1260740798
911	0.1259695534
912	0.1258539832
913	0.1257589639
914	0.125610775
915	0.1255706883
916	0.1255400313
917	0.1254983194
918	0.1254676418
919	0.1253453155
920	0.1253267484
921	0.1253051608
922	0.1252301096
923	0.1251839204
924	0.1249214091
925	0.1248973007
926	0.1248841227
927	0.1248663668
928	0.1247472432
929	0.1246974523
930	0.1246781822
931	0.1246327636
932	0.124507495
933	0.1244590084
934	0.1244083261
935	0.1242689833
936	0.1239913367
937	0.1239540768
938	0.1239526765
939	0.1239274956
940	0.1238418724
941	0.1238160682
942	0.1237538619
943	0.123575468
944	0.1235466516
945	0.123522089
946	0.1235206423
947	0.1234318929
948	0.1234300666
949	0.1234275955
950	0.1234263159
951	0.1233786728
952	0.1233305083
953	0.1233292845
954	0.1232504453
955	0.1231518158
956	0.1231167895
957	0.123006654
958	0.122985813
959	0.1229703577
960	0.1229676553
961	0.1229468112
962	0.1227833618
963	0.1227683027
964	0.1227642756
965	0.1226767186
966	0.1226753832
967	0.1226633592
968	0.1225967704
969	0.1225391007
970	0.1225362101
971	0.1224222404
972	0.1224047845
973	0.1223015775
974	0.1223004127
975	0.1221640668
976	0.1221500645
977	0.1216368742
978	0.1215847745
979	0.1215217567
980	0.1214885506
981	0.1212937009
982	0.1210478342
983	0.1210274647
984	0.1209923733
985	0.1209583608
986	0.120916449
987	0.1209144994
988	0.1208639195
989	0.1208276831
990	0.1208107745
991	0.1207702726
992	0.1207535058
993	0.1207264337
994	0.1205700022
995	0.1205367716
996	0.1204626015
997	0.120393507
998	0.1203908042
999	0.1203166399
